Temp	Mu	Sigma	Acceptance	Energy	
0.166	0.850	0.515	0.47	-0.318
0.165	0.867	0.490	0.44	-0.233
0.164	0.885	0.493	0.44	-0.230
0.163	0.899	0.517	0.46	-0.295
0.162	0.894	0.528	0.47	-0.323
0.161	0.856	0.532	0.48	-0.355
0.161	0.855	0.547	0.49	-0.385
0.160	0.844	0.573	0.51	-0.422
0.159	0.858	0.553	0.49	-0.391
0.158	0.857	0.531	0.48	-0.355
0.157	0.857	0.531	0.46	-0.355
0.157	0.863	0.536	0.48	-0.359
0.156	0.887	0.562	0.50	-0.387
0.155	0.925	0.570	0.50	-0.364
0.154	0.964	0.587	0.51	-0.332
0.154	0.937	0.590	0.51	-0.365
0.153	0.945	0.597	0.52	-0.356
0.152	0.922	0.591	0.52	-0.381
0.151	0.891	0.601	0.53	-0.411
0.150	0.861	0.604	0.53	-0.427
0.150	0.851	0.627	0.54	-0.434
0.149	0.851	0.623	0.54	-0.433
0.148	0.839	0.625	0.54	-0.437
0.148	0.819	0.633	0.54	-0.440
0.147	0.811	0.656	0.54	-0.433
0.146	0.841	0.644	0.54	-0.429
0.145	0.836	0.653	0.55	-0.426
0.145	0.844	0.643	0.55	-0.431
0.144	0.877	0.641	0.55	-0.413
0.143	0.851	0.657	0.55	-0.420
0.142	0.871	0.676	0.56	-0.395
0.142	0.909	0.690	0.57	-0.346
0.141	0.917	0.680	0.57	-0.348
0.140	0.928	0.683	0.57	-0.333
0.140	0.914	0.688	0.57	-0.338
0.139	0.878	0.680	0.56	-0.383
0.138	0.872	0.697	0.57	-0.374
0.138	0.866	0.704	0.57	-0.368
0.137	0.876	0.711	0.57	-0.355
0.136	0.905	0.708	0.58	-0.335
0.135	0.893	0.695	0.57	-0.360
0.135	0.899	0.682	0.57	-0.364
0.134	0.854	0.687	0.56	-0.393
0.133	0.867	0.696	0.57	-0.378
0.133	0.844	0.691	0.56	-0.397
0.132	0.814	0.678	0.55	-0.418
0.131	0.789	0.659	0.54	-0.431
0.131	0.792	0.672	0.54	-0.426
0.130	0.775	0.666	0.53	-0.427
0.129	0.744	0.654	0.52	-0.426
0.129	0.746	0.641	0.52	-0.432
0.128	0.732	0.629	0.51	-0.427
0.128	0.709	0.644	0.50	-0.414
0.127	0.712	0.656	0.50	-0.413
0.126	0.712	0.656	0.48	-0.413
0.126	0.702	0.650	0.49	-0.409
0.125	0.726	0.667	0.51	-0.416
0.124	0.760	0.673	0.53	-0.422
0.124	0.761	0.685	0.53	-0.416
0.123	0.730	0.676	0.51	-0.412
0.123	0.701	0.695	0.50	-0.391
0.122	0.710	0.691	0.50	-0.400
0.121	0.745	0.710	0.52	-0.394
0.121	0.749	0.699	0.52	-0.404
0.120	0.761	0.704	0.53	-0.401
0.119	0.791	0.708	0.54	-0.398
0.119	0.768	0.711	0.53	-0.396
0.118	0.741	0.719	0.52	-0.388
0.118	0.736	0.727	0.51	-0.384
0.117	0.736	0.727	0.50	-0.384
0.117	0.757	0.730	0.53	-0.381
0.116	0.773	0.742	0.53	-0.369
0.115	0.794	0.741	0.55	-0.365
0.115	0.795	0.725	0.55	-0.380
0.114	0.825	0.739	0.56	-0.350
0.114	0.808	0.743	0.55	-0.356
0.113	0.831	0.730	0.56	-0.358
0.113	0.827	0.722	0.56	-0.370
0.112	0.799	0.707	0.55	-0.396
0.111	0.808	0.710	0.55	-0.391
0.111	0.800	0.720	0.55	-0.380
0.110	0.804	0.734	0.55	-0.364
0.110	0.779	0.751	0.54	-0.353
0.109	0.764	0.758	0.53	-0.352
0.109	0.744	0.760	0.52	-0.355
0.108	0.760	0.775	0.53	-0.335
0.108	0.760	0.762	0.53	-0.351
0.107	0.785	0.763	0.54	-0.337
